,title,artist,producer,streams,album_sales,bpm,gender,time_signature,fanbase,song_length,instrument_number,key,release_year,use_in_media,pop,rock,rap,country,hip_hop,alt.,reggae,r&b,sad,happy,angry,desperatation,hopeful,fearful,ashamed,romantic,grammy,vma,billboard_music_award,ama,mtv
SONG85,Only Girl ,Rihanna,"Stargate, Sandy Vee, Kuk Harrell","1,208,458,198",9,126,1,7,86689530,235,5,B♭,1993,4,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
SONG86,The Power of Love ,Celine Dion,David Foster,"227,508,731",30,140,1,7,17559234,275,5,B♭,2007,2,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
SONG87,Umbrella ,Rihanna and Jay-Z,Tricky Stewart,"1,654,206,780",9,174,9,7,86689530,276,5,B♭,2005,3,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0
SONG88,Bad Day ,Daniel Powter,"Mitchell Froom, Jeff Dawson","610,423,707",1,140,2,7,3743528,237,5,F,2005,5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG89,Pump up The Jam ,Technotronic,Thomas De Quincey,"162,801,924",1,125,9,7,3716457,214,4,F#,1989,18,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
SONG90,Love in this Club ,Usher ft. Young Jeezy,Polow da Don,"301,734,838",10,140,2,7,42013796,256,5,B♭,2008,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SONG91,Can't help falling in love with you ,UB40,UB40,"258,008,199",30,172,2,7,9203356,208,4,D,1993,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SONG92,I'm too Sexy,Right Said Fred,TommyD,"121,327,669",3,122,2,7,18,216,4,F,1991,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SONG93,You're Beautiful,James Blunt,Tom Rothrock,"932,745,938",5,82,2,7,10363375,213,4,A,2004,6,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0
SONG94,Black or White,Micheal Jackson,"Michael Jackson, Bill Bottrell","243,944,890",66,115,2,7,46520332,202,5,E,1991,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
SONG95,Always be my Baby ,Mariah Carey,"Mariah Carey, Jermaine Dupri","409,876,043",28,79,1,7,28408943,258,4,A,1995,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SONG96,Baby One More Time ,Britney Spears,"Max Martin, Rami Yacoub","932,970,187",30,200,1,7,39562746,211,4,B♭,1998,3,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0
SONG97,Yeah ,Usher ft. Lil jon and Ludacris,Lil Jon,"1,437,160,744",10,105,2,7,42013796,250,4,B♭,2004,4,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
SONG98,Big Girls Don't Cry,Fergie,will.i.am,"608,816,791",3,113,1,7,12527567,266,4,C,2006,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
SONG99,Family Affair,Mary J. Blige,Dr. Dre,"555,081,534",3,93,1,7,24870837,264,4,D♭,2001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG100,What's my name ,Rihanna ft. Drake,"Stargate, Kuk Harrell","561,624,433",1,100,9,7,3743528,263,4,B♭,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG101,Stay,Kid Laroi and Justin Bieber,"Cashmere Cat, Charlie Puth, Omer Fedi, Blake Slatkin","3,293,794,606",1,170,2,7,46796152,241,4,A♭,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG102,All about that base ,Meghan Trainor,Kevin Kadish,"846,632,030",1,134,1,7,28828516,190,4,C♭,2014,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
SONG103,Doo Wop (That Thing),Lauryn Hill,Lauryn Hill,"498,192,080",8,100,1,7,14201636,245,4,D♭,1998,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0
SONG104,Unbreak My Heart,Toni Braxton,David Foster,"265,397,722",6,110,1,7,4664889,270,4,F,1996,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SONG105,Always on Time ,Ja Rule ft. Ashanti,Irv Gotti,"446,259,412",3,97,9,7,7275945,227,4,F,2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SONG106,S & M ,Rihanna,"Stargate, Sandy Vee","1,140,604,388",1,128,1,7,3743528,242,4,A,2011,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG107,Truth Hurts,Lizzo,"Ricky Reed, Tele","1,008,123,102",1,158,1,7,11325322,175,4,A♭,2017,4,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG108,Girls like you ,Maroon 5 ft. Cardi B,"Cirkut, Jason Evigan","1,683,104,269",1,125,9,7,64430172,215,4,A♭,2011,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SONG109,Can't Hold Us,Macklemore,Ryan Lewis,"2,568,248,275",1,146,2,7,30252442,258,5,D♭,2001,10,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
SONG110,Creep,Radiohead,"Sean Slade, Paul Q. Kolderie","1,822,260,429",3,93,2,7,30280439,236,4,G,1992,12,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
SONG111,Check on it,Beyonce ft. Slim Thug,Swizz Beatz,"107,575,648",5,166,9,7,55363635,210,3,D♭,2005,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
SONG112,Buy U a Drank,T-Pain ft. Young Joc,T-Pain,"700,772,315",1,80,2,7,16247760,216,4,D♭,2007,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG113,Escapade,Janet Jackson,"Jimmy Jam and Terry Lewis, Janet Jackson","38,817,797",14,115,1,7,5630971,284,4,A♭,1990,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG114,Temperature,Sean Paul,"Rohan ""Snowcone"" Fuller","926,297,315",1,125,2,7,34331812,213,4,F,2005,4,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
SONG115,All I have,Jennifer Lopez ft. LL Cool J ,"Cory Rooney, Ron G, Dave McPherson","135,557,649",3,83,9,7,25648492,225,4,E♭,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SONG116,We Belong Together,Mariah Carey,Mariah Carey Jermaine Dupri Manuel Seal,"659,588,422",5,140,1,7,28408943,202,4,D♭,2005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SONG117,Stutter,Joe ft. Mystical,"Roy ""Royalty"" Hamilton, Teddy Riley","45,107,792",1,90,1,7,3601424,234,4,E♭,2001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONG118,Moves Like Jaggar,Maroon 5,"Shellback, Benny Blanco","1,582,078,944",10,128,2,7,64430172,202,5,B♭,2011,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
SONG119,OMG,Usher,will.i.am,"377,831,943",10,130,2,7,42013796,243,4,A♭,2010,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
SONG120,How do you Want it,2Pac ft. K-Ci and JoJo ft. Dr. Dre ,"Johnny ""J"" & Mr. Dalvin","201,178,070",10,134,2,7,24669307,263,4,E,1996,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0
